"/category/cat4/page/3/";"/page/";"FALSE";"Slow";"TRUE";2;10;131;"Unique";"Duplicate";"Duplicate";"URLs with 5 to 10 Follow Inlinks";"3000 +"
"/2014/04/";"/2014/";"FALSE";"Slow";"TRUE";1;305;109;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"1000 - 3000"
"/uncategorised/2013/08/demo-post-34/";"/uncategorised/";"FALSE";"Slow";"TRUE";2;19;70;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
"/uncategorised/2013/08/demo-post-3/";"/uncategorised/";"FALSE";"Slow";"TRUE";2;20;71;"Duplicate";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
"/page/3/";"/page/";"FALSE";"Slow";"TRUE";2;11;138;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"3000 +"
"/cat2/2013/07/demo-post-21-3/";"/cat2/";"FALSE";"Slow";"TRUE";2;31;74;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"250 - 500"
"/uncategorised/2014/04/demo-post-41-2/";"/uncategorised/";"FALSE";"Slow";"TRUE";2;35;76;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
"/author/johnnyrobertson/";"/author/";"FALSE";"Slow";"TRUE";2;7;68;"Unique";"Duplicate";"Duplicate";"URLs with 5 to 10 Follow Inlinks";"500 - 1000"
"/uncategorised/2016/04/demo-post-24/";"/uncategorised/";"FALSE";"Slow";"TRUE";1;317;69;"Duplicate";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
"/2016/01/";"/2016/";"FALSE";"Slow";"TRUE";1;304;74;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
"/category/cat2/page/2/";"/page/";"FALSE";"Slowest";"TRUE";2;17;166;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"3000 +"
"/cat5/2015/10/demo-post-12-2/";"/cat5/";"FALSE";"Slow";"TRUE";2;27;74;"Duplicate";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
